TotalCars,Size,State,Suburb,lat,lng,CarsPerSQKM
6929,7.1977,South Australia,Goodwood - Millswood, 138.589880,-34.954303,962.6686302568876
2472,4.3474,Queensland,Sandgate - Shorncliffe, 153.067351,-27.316243,568.6157243409854
1158,56.2773,New South Wales,Horsley Park - Kemps Creek, 150.817846,-33.850770,20.576680117916105
6491,11.1052,Victoria,Springvale, 145.163183,-37.944121,584.5009545077982
0,3.0755,Victoria,Moorabbin Airport, 145.099661,-37.977936,0.0
2684,7322.793,New South Wales,Tenterfield, 152.281778,-28.838358,0.3665268156562667
2581,12.4479,Western Australia,Bertram - Wellard (West), 115.831777,-32.265456,207.34421067007284
5067,43.6626,New South Wales,Toronto - Awaba, 151.559424,-33.016938,116.0489755534485
5600,6.0763,New South Wales,Oatlands - Dundas Valley, 151.040942,-33.794722,921.6134818886494
4873,47.1105,Western Australia,Beechboro, 115.960558,-31.835647,103.43766251684868
5846,6.3315,Queensland,Palm Beach, 153.458445,-28.115534,923.3199083945352
2687,57.6881,New South Wales,Korora - Emerald Beach, 153.137949,-30.204253,46.578063760116905
3057,9.0093,Victoria,Kingsbury, 145.049893,-37.714094,339.31604009190505
1498,767.9512,New South Wales,Calga - Kulnura, 151.163084,-33.279753,1.9506447805537643
8603,3.2812,New South Wales,Newtown - Camperdown - Darlington, 151.179817,-33.896632,2621.9066195294404
2548,3.5055,Victoria,Delahey, 144.776763,-37.718842,726.8577948937384
104,2.8593,Australian Capital Territory,Hall, 149.062300,-35.170050,36.37253873325639
1776,37.3373,Queensland,Tinana, 152.659502,-25.545012,47.56637464412263
